月数,人口,单岗研究,总研究,单岗超然逻辑,总超然逻辑,单岗能量币维护,总岗能量币维护,人口净化进度,产生人口净化进度,人口增长进度,产生人口增长进度,帝国人口
12,4025,25346.02734375,102017760.05859375,820.408203125,3302143.017578125,545.8906250000001,2197209.7656250005,81.60000000000309,7372.25,605.299999999999,1465,6225
13,3953,24465.87459375,96713602.26909375,791.5017781250001,3128806.5289281253,536.1256250000001,2119304.5956250005,53.85000000000309,7239.05,625.2999999999993,1465,6153
14,3883,23625.080531249998,91736187.70284374,763.8953093749999,2966205.4863031246,526.631875,2044911.5706250002,92.90000000000327,7109.55,659.6999999999991,1465,6083
15,3813,22798.986468749998,86932535.40534374,736.778840625,2809337.719303125,517.1381250000001,1971847.6706250003,2.450000000003456,6980.05,708.0999999999988,1465,6013
16,3747,22033.56178125,82559755.99434374,711.660684375,2666592.5843531247,508.1868750000001,1904176.2206250003,82.50000000000364,6857.950000000001,69.19999999999834,1465,5947
17,3680,21269.906250000004,78273255.00000001,686.6075000000002,2526715.6000000006,499.1000000000001,1836688.0000000002,40.450000000004366,6734.0,144.79999999999836,1465,5880
18,3615,20541.91640625,74259027.80859375,662.731171875,2395773.1863281247,490.28437500000007,1772378.0156250002,74.45000000000437,6613.75,233.79999999999836,1465,5815
19,3551,19837.51040625,70442999.45259374,639.6349718749999,2271343.7851281245,481.6043750000001,1710177.1356250003,88.20000000000437,6495.35,335.79999999999836,1465,5751
20,3488,19156.11225,66816519.528,617.2997000000001,2153141.3536000005,473.06000000000006,1650033.2800000003,83.55000000000473,6378.8,450.5999999999983,1465,5688
21,3426,18497.1549375,63371252.815875,595.70645625,2040890.3191125,464.6512500000001,1591895.1825000003,62.35000000000491,6264.1,577.9999999999982,1465,5626
22,3366,17870.4343125,60151881.89587501,575.1757687500001,1936041.6376125002,456.5137500000001,1536625.2825000002,26.450000000005275,6153.1,55.19999999999811,1465,5566
23,3307,17264.69053125,57094331.586843744,555.338309375,1836503.789103125,448.51187500000015,1483228.7706250006,79.55000000000564,6043.950000000001,206.99999999999795,1465,5507
24,3248,16669.389750000002,54142177.90800001,535.8489500000002,1740437.3896000006,440.51000000000005,1430776.4800000002,23.500000000006366,5934.8,370.59999999999786,1465,5448
25,3191,16104.186656250002,51388459.620093755,517.3508468750001,1650866.5523781253,432.7793750000001,1380998.9856250002,58.30000000000655,5829.35,545.9999999999977,1465,5391
26,3136,15568.05525,48821421.264,499.8098,1567403.5328,425.3200000000001,1333803.5200000003,87.65000000000691,5727.6,93.69999999999766,1465,5336
27,3080,15031.5,46297020.0,482.260625,1485362.725,417.7250000000001,1286593.0000000002,15.250000000007276,5624.0,291.4999999999975,1465,5280
28,3026,14523.0174375,43946650.765875004,465.63520625000007,1409012.1341125001,410.40125000000006,1241874.1825,39.250000000007276,5524.1,500.4999999999975,1465,5226
29,2974,14041.6355625,41759824.162875,449.9011437500001,1338006.0015125002,403.3487500000001,1199559.1825000003,63.35000000000764,5427.900000000001,97.69999999999743,1465,5174
30,2922,13568.3656875,39646764.538875,434.43748124999996,1269426.3202125,396.29625000000004,1157977.6425,91.25000000000819,5331.7,327.8999999999976,1465,5122
31,2870,13103.207812499999,37606206.421875,419.24421874999996,1203230.9078125,389.24375000000003,1117129.5625,22.950000000008004,5235.5,568.4999999999975,1465,5070
32,2821,12672.30946875,35748585.01134375,405.17494062500003,1142998.5075031251,382.5981250000001,1079309.3106250002,58.450000000008004,5144.85,212.4999999999975,1465,5021
33,2771,12240.04228125,33917157.16134375,391.066034375,1083643.981253125,375.8168750000001,1041388.5606250003,3.3000000000083674,5052.35,473.29999999999745,1465,4971
34,2724,11840.549625,32253657.1785,378.03161250000005,1029758.1124500001,369.4425000000001,1006361.3700000003,55.65000000000873,4965.400000000001,146.99999999999739,1465,4924
35,2676,11439.397125,30611826.706499998,364.94786250000004,976600.4800500001,362.93250000000006,971207.3700000001,21.050000000009277,4876.6,427.1999999999971,1465,4876
